Data Murano SaccaFisola RioNovo ParcoBissuola viaTagliamento
30/03/2018 33 37 54 38 50
31/03/2018 13 22 19 14 22
01/04/2018 12 15 16 13 15
02/04/2018 20 18 18 18 20
03/04/2018 25 28 29 23 33
04/04/2018 25 27 28 21 30
05/04/2018 20 24 29 19 28
06/04/2018 12 19 20 17 27
07/04/2018 17 21 14 17 20
08/04/2018 17 22 15 15 17
09/04/2018 20 32 25 20 31
10/04/2018 25 23 23 18 24
11/04/2018 15 22 19 13 21
12/04/2018 24 30 33 21 35
13/04/2018 18 18 18 12 18
14/04/2018 NA 28 23 21 24
15/04/2018 NA 40 28 25 31
16/04/2018 NA 47 49 40 40
17/04/2018 NA 36 35 32 35
18/04/2018 26 34 25 22 25
19/04/2018 25 33 24 20 22
20/04/2018 27 38 27 25 26
21/04/2018 24 33 25 23 26
22/04/2018 32 29 23 23 31
23/04/2018 24 35 30 29 38
24/04/2018 30 38 33 32 44
25/04/2018 41 39 39 33 51
26/04/2018 39 33 28 30 33
27/04/2018 25 19 18 16 17
28/04/2018 25 37 28 26 28
29/04/2018 32 35 36 32 41
30/04/2018 18 18 24 17 19
01/05/2018 14 18 13 12 14
02/05/2018 25 28 18 16 20
03/05/2018 38 41 40 32 35
04/05/2018 28 29 27 23 25
05/05/2018 21 31 23 20 21
06/05/2018 26 35 31 21 21
07/05/2018 24 27 21 19 21
08/05/2018 28 26 26 22 21
09/05/2018 21 19 14 13 14
10/05/2018 19 23 18 18 16
11/05/2018 25 32 23 22 21
12/05/2018 27 27 18 20 22
13/05/2018 24 29 23 23 27
14/05/2018 15 12 15 9 10
15/05/2018 17 14 11 11 10
16/05/2018 24 16 11 10 11
17/05/2018 18 17 16 15 18
18/05/2018 21 27 NA 20 24
19/05/2018 19 20 NA 10 11
20/05/2018 19 21 15 12 12
21/05/2018 23 22 20 NA 14
22/05/2018 23 21 29 21 29
23/05/2018 21 28 24 18 20
24/05/2018 24 28 22 22 18
25/05/2018 23 31 23 23 22
26/05/2018 19 23 18 16 14
27/05/2018 27 36 25 23 28
28/05/2018 25 31 25 26 28
29/05/2018 27 NA 31 29 33
30/05/2018 29 30 25 25 28
31/05/2018 41 40 33 33 41
01/06/2018 35 47 50 36 37
02/06/2018 33 41 43 36 46
03/06/2018 41 24 19 20 19
04/06/2018 24 26 21 25 26
05/06/2018 28 32 29 24 28
06/06/2018 31 29 27 30 30
07/06/2018 16 26 22 20 15
08/06/2018 16 20 18 12 10
09/06/2018 21 24 20 17 14
10/06/2018 50 34 33 25 23
11/06/2018 34 32 29 29 28
12/06/2018 21 31 30 27 21
13/06/2018 14 18 15 10 16
14/06/2018 11 8 12 7 12
15/06/2018 14 15 16 12 13
16/06/2018 17 25 21 17 17
17/06/2018 39 22 21 21 19
18/06/2018 17 24 17 16 18
19/06/2018 16 19 NA 15 15
20/06/2018 18 21 18 17 17
21/06/2018 39 30 24 23 23
22/06/2018 13 12 20 14 12
23/06/2018 13 9 11 11 8
24/06/2018 29 16 11 11 11
25/06/2018 8 13 13 10 8
26/06/2018 14 11 11 8 8
27/06/2018 13 16 15 13 16
28/06/2018 18 18 17 11 14
29/06/2018 18 32 21 11 13
30/06/2018 22 38 35 31 32
01/07/2018 19 16 17 16 15
02/07/2018 24 22 19 16 18
03/07/2018 25 27 23 23 24
04/07/2018 17 20 18 16 15
05/07/2018 28 25 19 18 21
06/07/2018 13 19 12 11 12
07/07/2018 25 24 20 14 17
08/07/2018 27 16 18 13 16
09/07/2018 27 21 15 13 20
10/07/2018 17 22 17 16 18
11/07/2018 15 17 20 16 19
12/07/2018 16 16 14 13 21
13/07/2018 15 18 15 14 19
14/07/2018 18 20 19 17 20
15/07/2018 20 20 16 14 19
16/07/2018 14 16 12 16 21
17/07/2018 17 25 21 21 18
18/07/2018 33 31 24 21 23
19/07/2018 24 32 26 28 35
20/07/2018 17 26 24 24 36
21/07/2018 12 19 15 16 16
22/07/2018 21 21 18 17 32
23/07/2018 18 17 13 9 8
24/07/2018 25 29 25 18 18
25/07/2018 25 42 27 27 29
26/07/2018 17 30 24 18 21
27/07/2018 25 29 19 16 17
28/07/2018 32 32 24 26 29
29/07/2018 20 33 26 22 25
30/07/2018 26 42 34 29 34
31/07/2018 24 36 27 28 33
01/08/2018 25 50 30 31 31
02/08/2018 19 24 25 24 26
03/08/2018 20 27 25 19 19
04/08/2018 21 30 25 23 22
05/08/2018 23 30 26 23 23
06/08/2018 20 26 22 22 25
07/08/2018 21 35 19 26 37
08/08/2018 24 35 32 25 27
09/08/2018 22 26 26 23 27
10/08/2018 20 28 25 20 22
11/08/2018 21 26 22 20 27
12/08/2018 17 19 16 14 14
13/08/2018 22 28 24 21 27
14/08/2018 NA 18 19 17 17
15/08/2018 12 16 10 9 9
16/08/2018 17 22 12 11 12
17/08/2018 17 24 16 17 17
18/08/2018 23 30 23 20 23
19/08/2018 22 28 23 19 18
20/08/2018 23 31 23 22 21
21/08/2018 23 31 21 21 21
22/08/2018 28 33 26 28 26
23/08/2018 29 38 28 29 33
24/08/2018 27 39 32 30 34
25/08/2018 15 18 23 14 20
26/08/2018 8 6 4 4 5
27/08/2018 15 17 8 8 11
28/08/2018 18 24 19 13 13
29/08/2018 20 27 19 19 18
30/08/2018 20 28 25 19 23
31/08/2018 NA 24 24 16 19
01/09/2018 15 21 15 12 15
02/09/2018 13 13 9 7 11
03/09/2018 18 21 15 17 14
04/09/2018 24 28 21 18 19
05/09/2018 23 34 23 27 34
06/09/2018 20 31 32 27 34
07/09/2018 18 20 21 21 23
08/09/2018 17 26 22 23 26
09/09/2018 20 27 21 22 24
10/09/2018 22 37 30 37 36
11/09/2018 29 42 38 37 41
12/09/2018 33 59 50 40 54
13/09/2018 50 72 75 58 79
14/09/2018 60 75 71 111
15/09/2018 25 34 64 41 62
16/09/2018 25 31 25 30 38
17/09/2018 28 39 31 29 36
18/09/2018 31 47 40 38 45
19/09/2018 28 39 33 33 47
20/09/2018 27 32 31 29 38
21/09/2018 30 38 30 28 34
22/09/2018 27 35 39 35 36
23/09/2018 25 34 29 34 30
24/09/2018 25 24 31 28 30
25/09/2018 11 13 15 12 10
26/09/2018 15 19 NA 12 15
27/09/2018 37 51 NA 25 28
28/09/2018 30 40 29 21 28
29/09/2018 21 26 28 19 20
30/09/2018 19 22 17 16 16
01/10/2018 17 26 17 19 19
02/10/2018 10 14 13 8 9
03/10/2018 22 29 19 19 20
04/10/2018 18 25 21 16 18
05/10/2018 22 30 25 19 21
06/10/2018 17 26 20 20 27
07/10/2018 14 23 15 11 16
08/10/2018 21 33 20 22 27
09/10/2018 33 41 38 35 41
10/10/2018 37 46 47 37 43
11/10/2018 36 46 40 38 42
12/10/2018 46 55 53 50 52
13/10/2018 42 55 47 43 49
14/10/2018 40 48 44 42 42
15/10/2018 41 49 41 41 45
16/10/2018 38 47 37 37 43
17/10/2018 30 40 34 30 40
18/10/2018 49 51 45 42 45
19/10/2018 45 54 50 44 48
20/10/2018 46 51 48 47 49
21/10/2018 34 29 36 34 40
22/10/2018 19 24 16 16 18
23/10/2018 32 34 22 24 28
24/10/2018 59 55 50 54 61
25/10/2018 43 46 42 40 49
26/10/2018 31 36 28 29 32
27/10/2018 35 34 27 26 37
28/10/2018 38 25 25 26 46
29/10/2018 NA 41 34 32
30/10/2018 NA 12 18 16 14
31/10/2018 NA 21 21 14 15
01/11/2018 NA 35 33 34 45
02/11/2018 NA 22 22 17 18
03/11/2018 NA 21 17 13 18
04/11/2018 NA 29 24 19 27
05/11/2018 NA 31 26 26 34
06/11/2018 NA 30 26 19 35
07/11/2018 NA 30 30 23 38
08/11/2018 NA 40 42 41 53
09/11/2018 NA 26 27 35 41
10/11/2018 37 32 30 32 43
11/11/2018 38 34 35 37 49
12/11/2018 50 46 46 49 62
13/11/2018 48 47 47 53 60
14/11/2018 28 32 28 30 44
15/11/2018 23 23 21 24 26
16/11/2018 18 18 16 15 15
17/11/2018 20 21 19 14 16
18/11/2018 19 24 15 15 17
19/11/2018 21 20 18 18 21
20/11/2018 12 14 7 9 11
21/11/2018 37 39 33 37 49
22/11/2018 43 51 44 48 65
23/11/2018 42 41 38 42 48
24/11/2018 24 29 19 21 24
25/11/2018 23 31 25 24 31
26/11/2018 25 29 24 24 35
27/11/2018 14 18 15 15 19
28/11/2018 16 19 18 19 20
29/11/2018 25 26 20 28 30
30/11/2018 33 35 24 32 34
01/12/2018 53 55 45 51 64
02/12/2018 73 70 62 64 72
03/12/2018 84 90 78 82 90
04/12/2018 81 85 79 81 94
05/12/2018 45 48 43 57 65
06/12/2018 25 29 17 22 32
07/12/2018 69 73 63 65 68
08/12/2018 46 49 44 51 53
09/12/2018 36 39 28 35 44
10/12/2018 51 49 48 61 79
11/12/2018 30 34 28 32 42
12/12/2018 32 35 33 40 53
13/12/2018 16 19 16 21 29
14/12/2018 17 19 14 17 21
15/12/2018 34 36 28 33 50
16/12/2018 47 51 42 54 64
17/12/2018 42 45 38 47 58
18/12/2018 50 56 51 63 80
19/12/2018 39 54 42 52 82
20/12/2018 28 31 23 27 32
21/12/2018 45 42 37 37 47
22/12/2018 NA 72 61 64 74
23/12/2018 NA 55 52 57 61
24/12/2018 NA 57 49 59 62
25/12/2018 26 25 24 39 43
26/12/2018 23 24 17 21 27
27/12/2018 24 44 37 41 45
28/12/2018 49 62 61 43 43
29/12/2018 61 NA 61 78 89
30/12/2018 68 NA 91 100 115
31/12/2018 68 NA 69 85 87
