Data Murano SaccaFisola RioNovo ParcoBissuola viaTagliamento
28/08/2022 20 23 20 15 22
29/08/2022 23 21 23 14 20
30/08/2022 26 21 17 14 14
31/08/2022 18 16 17 12 17
01/09/2022 20 13 16 11 9
02/09/2022 25 19 19 17 15
03/09/2022 20 18 19 20 16
04/09/2022 22 20 20 21 24
05/09/2022 NA 22 26 20 17
06/09/2022 31 33 30 20 25
07/09/2022 26 30 37 16 16
08/09/2022 20 21 30 14 14
09/09/2022 17 24 22 13 14
10/09/2022 18 12 13 7 9
11/09/2022 21 12 19 10 18
12/09/2022 21 12 13 7 11
13/09/2022 21 21 20 12 18
14/09/2022 29 31 34 19 25
15/09/2022 33 36 28 25 28
16/09/2022 26 27 34 21 39
17/09/2022 15 8 10 5 10
18/09/2022 21 12 12 9 21
19/09/2022 22 15 16 10 20
20/09/2022 18 7 11 8 15
21/09/2022 17 10 10 9 19
22/09/2022 24 16 12 10 14
23/09/2022 37 15 14 12 12
24/09/2022 22 25 20 17 20
25/09/2022 18 17 10 9 9
26/09/2022 37 24 29 20 19
27/09/2022 17 11 14 9 9
28/09/2022 18 15 13 8 7
29/09/2022 19 20 22 14 19
30/09/2022 13 10 13 10 14
01/10/2022 22 11 10 10 12
02/10/2022 35 25 22 21 23
03/10/2022 65 30 26 27 34
04/10/2022 30 19 37 19 28
05/10/2022 28 NA 29 17 27
06/10/2022 37 NA 32 23 33
07/10/2022 NA 30 25 27 24
08/10/2022 39 33 37 23 29
09/10/2022 32 29 31 29 27
10/10/2022 34 24 27 22 21
11/10/2022 182 43 34 27 26
12/10/2022 47 28 31 27 30
13/10/2022 43 34 37 33 33
14/10/2022 52 48 52 41 49
15/10/2022 53 54 60 48 55
16/10/2022 53 54 77 53 63
17/10/2022 58 57 62 58 71
18/10/2022 53 55 68 44 55
19/10/2022 59 64 64 43 54
20/10/2022 35 34 31 30 38
21/10/2022 31 38 30 33 40
22/10/2022 23 47 23 29 38
23/10/2022 18 28 19 19 24
24/10/2022 43 36 50 38 55
25/10/2022 26 18 18 16 22
26/10/2022 38 28 33 24 26
27/10/2022 52 49 45 30 35
28/10/2022 46 41 39 33 35
29/10/2022 57 54 56 39 43
30/10/2022 85 80 89 61 66
31/10/2022 86 82 95 59 76
01/11/2022 69 69 95 71 85
02/11/2022 78 75 99 75 97
03/11/2022 71 73 80 68 77
04/11/2022 24 17 20 25 37
05/11/2022 12 11 12 13 15
06/11/2022 23 17 16 22 24
07/11/2022 34 27 28 31 42
08/11/2022 43 43 42 42 57
09/11/2022 58 49 47 47 53
10/11/2022 41 32 42 39 47
11/11/2022 25 22 13 19 31
12/11/2022 50 46 41 39 50
13/11/2022 27 22 20 20 21
14/11/2022 21 20 15 16 18
15/11/2022 47 38 35 39 42
16/11/2022 30 22 19 24 27
17/11/2022 37 30 27 28 29
18/11/2022 44 37 39 35 45
19/11/2022 18 14 18 19 24
20/11/2022 13 9 9 12 15
21/11/2022 25 21 17 23 29
22/11/2022 22 13 10 9 9
23/11/2022 31 14 21 19 24
24/11/2022 37 29 30 31 43
25/11/2022 33 30 27 34 45
26/11/2022 19 18 13 19 26
27/11/2022 25 17 17 26 32
28/11/2022 29 28 22 29 32
29/11/2022 23 15 19 22 26
30/11/2022 23 22 20 26 33
01/12/2022 13 13 9 15 20
02/12/2022 15 14 8 7 11
03/12/2022 16 18 9 9 11
04/12/2022 16 14 9 10 11
05/12/2022 21 15 15 14 19
06/12/2022 36 27 26 27 31
07/12/2022 32 33 26 30 37
08/12/2022 32 29 20 28 38
09/12/2022 26 24 17 22 27
10/12/2022 33 32 23 25 34
11/12/2022 13 5 7 9 11
12/12/2022 23 22 16 24 24
13/12/2022 19 22 13 18 18
14/12/2022 46 NA 36 35 42
15/12/2022 40 41 34 37 42
16/12/2022 38 32 24 26 33
17/12/2022 29 NA 26 27 31
18/12/2022 24 16 17 23 27
19/12/2022 37 36 27 36 46
20/12/2022 62 59 51 60 73
21/12/2022 67 69 61 62 71
22/12/2022 81 83 74 79 99
23/12/2022 88 89 82 89 107
24/12/2022 82 83 75 83 97
25/12/2022 69 67 64 69 77
26/12/2022 85 83 74 82 95
27/12/2022 78 81 81 81 91
28/12/2022 34 35 32 35 36
29/12/2022 62 65 55 56 65
30/12/2022 48 46 42 46 52
31/12/2022 48 51 42 46 55
